Rank,Title,Citations,Year,URL,Description
11,Robox: an end-to-end solution to accelerate autonomous control in robotics,52,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:O3NaXMp0MMsC,"Novel algorithmic advances have paved the way for robotics to transform the dynamics of many social and enterprise applications. To achieve true autonomy, robots need to continuously process and interact with their environment through computationally-intensive motion planning and control algorithms under a low power budget. Specialized architectures offer a potent choice to provide low-power, high-performance accelerators for these algorithms. Instead of taking a traditional route which profiles and maps hot code regions to accelerators, this paper delves into the algorithmic characteristics of the application domain. We observe that many motion planning and control algorithms are formulated as a constrained optimization problems solved online through Model Predictive Control (MPC). While models and objective functions differ between robotic systems and tasks, the structure of the optimization problem …"
12,AxGames: Towards crowdsourcing quality target determination in approximate computing,40,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:bEWYMUwI8FkC,"Approximate computing trades quality of application output for higher efficiency and performance. Approximation is useful only if its impact on application output quality is acceptable to the users. However, there is a lack of systematic solutions and studies that explore users' perspective on the effects of approximation. In this paper, we seek to provide one such solution for the developers to probe and discover the boundary of quality loss that most users will deem acceptable. We propose AxGames, a crowdsourced solution that enables developers to readily infer a statistical common ground from the general public through three entertaining games. The users engage in these games by betting on their opinion about the quality loss of the final output while the AxGames framework collects statistics about their perceptions. The framework then statistically analyzes the results to determine the acceptable levels of quality …"
13,Forecasting GPU Performance for Deep Learning Training and Inference,31,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:P5F9QuxV20EC,"Deep learning kernels exhibit a high level of predictable memory accesses and compute patterns, making GPU's architecture well-suited for their execution. Moreover, software and runtime system for GPUs further enable optimizations that aim to better utilize the stream multiprocessors, on-chip bandwidth, multiple levels of cache hierarchy, and off-chip high-bandwidth memory. In the context of deep learning, the entire space of models and GPUs is constantly evolving, as newer models emerge with simultaneous upgrades to the device. However, access to newer GPUs is often limited, raising important questions about the performance of new model architectures on existing GPUs, existing models on new GPUs, and new model architectures on new GPUs. To address these questions, we introduce NeuSight, a forecasting framework to predict the performance of a diverse range of deep learning models, for both …"
14,FLuID: Mitigating Stragglers in Federated Learning using Invariant Dropout,30,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:dfsIfKJdRG4C,"Federated Learning (FL) allows machine learning models to train locally on individual mobile devices, synchronizing model updates via a shared server. This approach safeguards user privacy; however, it also generates a heterogeneous training environment due to the varying performance capabilities across devices. As a result,“straggler” devices with lower performance often dictate the overalltraining time in FL. In this work, we aim to alleviate this performance bottleneck due to stragglers by dynamically balancing the training load across the system. We introduce Invariant Dropout, a method that extracts a sub-model based on the weight update threshold, thereby minimizing potential impacts on accuracy. Building on this dropout technique, we develop an adaptive training framework, Federated Learning using Invariant Dropout (FLuID). FLuID offers a lightweight sub-model extraction to regulate computational intensity, thereby reducing the load on straggler devices without affecting model quality. Our method leverages neuron updates from non-straggler devices to construct a tailored sub-model for each straggler based on client performance profiling. Furthermore, FLuID can dynamically adapt to changes in stragglers as runtime conditions shift. We evaluate FLuID using five real-world mobile clients. The evaluations show that Invariant Dropout maintains baseline model efficiency while alleviating the performance bottleneck of stragglers through a dynamic, runtime approach."
15,Heterogeneous acceleration pipeline for recommendation system training,26,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:ldfaerwXgEUC,"Recommendation models rely on deep learning networks and large embedding tables, resulting in computationally and memory-intensive processes. These models are typically trained using hybrid CPU-GPU or GPU-only configurations. The hybrid mode combines the GPU’s neural network acceleration with the CPUs’ memory storage and supply for embedding tables but may incur significant CPU-to-GPU transfer time. In contrast, the GPU-only mode utilizes High Bandwidth Memory (HBM) across multiple GPUs for storing embedding tables. However, this approach is expensive and presents scaling concerns. This paper introduces Hotline, a heterogeneous acceleration pipeline that addresses these concerns. Hotline develops a dataaware and model-aware scheduling pipeline by leveraging the insight that only a few embedding entries are frequently accessed (popular). This approach utilizes CPU main memory for nonpopular …"
16,Memristor based adders,23,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:u-x6o8ySG0sC,"Currently memristors are being researched to offer logic and memory functions. Recently, ultra dense resistive memory arrays built from various two terminal semiconductor or insulator thin film devices have been demonstrated. This paper presents memristor-based designs of commonly used (ripple carry, conditional sum and parallel prefix) adders. The latency and area of these adders are compared."
17,Prediction-based quality control for approximate accelerators,21,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:YFjsv_pBGBYC,"Approximate accelerators are an emerging type of accelerator that trade output quality for significant gains in performance and energy efficiency. Conventionally, the approximate accelerator is always invoked in lieu of a frequently executed region of code (eg, a function in a loop). However, always invoking the accelerator results in a fixed degree of error that may not be desirable. Our core idea is to predict whether each individual accelerator invocation will lead to an undesirable quality loss in the final output. We therefore design and evaluate predictors that only leverage information local to that specific potential invocation. If the predictor speculates that a large quality degradation is likely, it directs the core to run the original precise code instead. We use neural networks as an alternative prediction mechanism for quality control that also provides a realistic reference point to evaluate the effectiveness of our table-based predictor. Our evaluation comprises a set of benchmarks with diverse error behavior. For these benchmarks a table-based predictor with eight tables each of size 0.5 KB achieves 2.6× average speedup and 2.8× average energy reduction with a 5% error requirement. The neural predictor yields 4% and 17% larger performance and energy gains, respectively. On average, an idealized oracle predictor with prior knowledge about all invocations achieves only 26% more performance and 37% more energy benefits compared to the table-based predictor."
18,Axilog: Abstractions for approximate hardware design and reuse,20,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:RHpTSmoSYBkC,"Relaxing the traditional abstraction of ""near-perfect"" accuracy in hardware design can yield significant gains in efficiency, area, and performance. To exploit this opportunity, there is a need for design abstractions and synthesis tools that can systematically incorporate approximation in hardware design. We define Axilog, a set of language extensions for Verilog, that provides the necessary syntax and semantics for approximate hardware design and reuse. Axilog enables designers to safely relax the accuracy requirements in the design, while keeping the critical parts strictly precise. Axilog is coupled with a Safety Inference Analysis that automatically infers the safe-to- approximate gates and connections from the annotations. The analysis provides formal guarantees that the safe-to-approximate parts of the design are in strict accordance to the designer's intentions. We devise two synthesis flows that leverage Axilog's …"
19,A Computational Stack for Cross-Domain Acceleration,19,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:35N4QoGY0k4C,"Domain-specific accelerators obtain performance benefits by restricting their algorithmic domain. These accelerators utilize specialized languages constrained to particular hardware, thus trading off expressiveness for high performance. The pendulum has swung from one hardware for all domains (general-purpose processors) to one hardware per individual domain. The middle-ground on this spectrum–which provides a unified computational stack across multiple, but not all, domains– is an emerging and open research challenge. This paper sets out to explore this region and its associated tradeoff between expressiveness and performance by defining a cross-domain stack, dubbed PolyMath. This stack defines a high-level cross-domain language (CDL), called PMLang, that in a modular and reusable manner encapsulates mathematical properties to be expressive across multiple domains–Robotics, Graph …"
20,MoETuner: Optimized Mixture of Expert Serving with Balanced Expert Placement and Token Routing,17,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:nb7KW1ujOQ8C,"Mixture-of-Experts (MoE) model architecture has emerged as a promising solution for scaling transformer models efficiently, offering sparse activation that reduces computational costs while increasing model capacity. However, as MoE models scale, they need to be distributed across GPU devices, thus face critical performance bottlenecks due to their large memory footprint. Expert parallelism distributes experts across GPUs, however, faces key challenges including an unbalanced token routing and expert activation, resulting in communication tail latency and processing inefficiencies. While existing solutions address some of these issues, they fail to resolve the dual challenges of load imbalance and communication skew. The imbalance in token processing load across experts causes uneven processing times on different GPUs, while communication skew between GPUs leads to unbalanced inter-GPU data transfers. These factors degrade the performance of MoE models by increasing tail latency and reducing overall throughput. To address these limitations, we propose an Integer Linear Programming (ILP) formulation to optimize expert placement by jointly considering token load, communication, and computation costs. We exploit the property that there is a token routing dependency across layers, where tokens routed to a specific expert in one layer are likely to be routed to a limited set of experts in the subsequent layer. Our solution, MoETuner, offers an optimal expert-to-GPU assignment that minimizes inter-GPU token routing costs and balances token processing across devices, thereby reducing tail latency and end-to-end execution time …"
21,Integrated Hardware Architecture and Device Placement Search,17,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:xtRiw3GOFMkC,"Distributed execution of deep learning training involves a dynamic interplay between hardware accelerator architecture and device placement strategy. This is the first work to explore the co-optimization of determining the optimal architecture and device placement strategy through novel algorithms, improving the balance of computational resources, memory usage, and data distribution. Our architecture search leverages tensor and vector units, determining their quantity and dimensionality, and on-chip and off-chip memory configurations. It also determines the microbatch size and decides whether to recompute or stash activations, balancing the memory footprint of training and storage size. For each explored architecture configuration, we use an Integer Linear Program (ILP) to find the optimal schedule for executing operators on the accelerator. The ILP results then integrate with a dynamic programming solution to identify the most effective device placement strategy, combining data, pipeline, and tensor model parallelism across multiple accelerators. Our approach achieves higher throughput on large language models compared to the state-of-the-art TPUv4 and the Spotlight accelerator search framework. The entire source code of PHAZE is available at https://github.com/msr-fiddle/phaze."
22,AxBench: A Benchmark Suite for Approximate Computing Across the System Stack,16,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:iH-uZ7U-co4C,"As the end of Dennard scaling looms, both the semiconductor industry and the research community are exploring for innovative solutions that allow energy efficiency and performance to continue to scale. Approximation computing has become one of the viable techniques to perpetuate the historical improvements in the computing landscape. As approximate computing attracts more attention in the community, having a general, diverse, and representative set of benchmarks to evaluate different approximation techniques becomes necessary.In this paper, we develop and introduce AxBench, a general, diverse and representative multi-framework set of benchmarks for CPUs, GPUs, and hardware design with the total number of 29 benchmarks. We judiciously select and develop each benchmark to cover a diverse set of domains such as machine learning, scientific computation, signal processing, image processing, robotics, and compression. AxBench comes with the necessary annotations to mark the approximable region of code and the application-specific quality metric to assess the output quality of each application. AxBench with these set of annotations facilitate the evaluation of different approximation techniques. To demonstrate its effectiveness, we evaluate three previously proposed approximation techniques using AxBench benchmarks: loop perforation [1] and neural processing units (NPUs)[2–4] on CPUs and GPUs, and Axilog [5] on dedicated hardware. We find that (1) NPUs offer higher performance and energy efficiency as compared to loop perforation on both CPUs and GPUs,(2) while NPUs provide considerable efficiency gains on …"
23,Workload-Aware Hardware Architecture Recommendations,15,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:EUQCXRtRnyEC,The description relates to accelerator architectures for deep learning models. One example can obtain a deep learning training script associated with a deep learning model and extract an operator graph from the training script. The example can split the operator graph into first and second portions of a heterogeneous pipeline and tune a first accelerator core for the first portion of the heterogeneous pipeline and a second accelerator core for the second portion of the heterogeneous pipeline. The example can also generate a hardware architecture that includes the first accelerator core and the second accelerator core arranged to collectively accomplish the deep learning model.
24,Accelerating String-Key Learned Index Structures via Memoization-based Incremental Training,11,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:NhqRSupF_l8C,"Learned indexes use machine learning models to learn the mappings between keys and their corresponding positions in key-value indexes. These indexes use the mapping information as training data. Learned indexes require frequent retrainings of their models to incorporate the changes introduced by update queries. To efficiently retrain the models, existing learned index systems often harness a linear algebraic QR factorization technique that performs matrix decomposition. This factorization approach processes all key-position pairs during each retraining, resulting in compute operations that grow linearly with the total number of keys and their lengths. Consequently, the retrainings create a severe performance bottleneck, especially for variable-length string keys, while the retrainings are crucial for maintaining high prediction accuracy and in turn, ensuring low query service latency. To address this performance problem, we develop an algorithm-hardware co-designed string-key learned index system, dubbed SIA. In designing SIA, we leverage a unique algorithmic property of the matrix decomposition-based training method. Exploiting the property, we develop a memoization-based incremental training scheme, which only requires computation over updated keys, while decomposition results of non-updated keys from previous computations can be reused. We further enhance SIA to offload a portion of this training process to an FPGA accelerator to not only relieve CPU resources for serving index queries (i.e., inference), but also accelerate the training itself. Our evaluation shows that compared to ALEX, LIPP, and SIndex, a state-of-the-art …"
25,Accelerating String-Key Learned Index Structures via Memoization-based Incremental Training,11,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:f2IySw72cVMC,"Learned indexes use machine learning models to learn the mappings between keys and their corresponding positions in key-value indexes. These indexes use the mapping information as training data. Learned indexes require frequent retrainings of their models to incorporate the changes introduced by update queries. To efficiently retrain the models, existing learned index systems often harness a linear algebraic QR factorization technique that performs matrix decomposition. This factorization approach processes all key-position pairs during each retraining, resulting in compute operations that grow linearly with the total number of keys and their lengths. Consequently, the retrainings create a severe performance bottleneck, especially for variable-length string keys, while the retrainings are crucial for maintaining high prediction accuracy and in turn, ensuring low query service latency. To address this performance problem, we develop an algorithm-hardware co-designed string-key learned index system, dubbed SIA. In designing SIA, we leverage a unique algorithmic property of the matrix decomposition-based training method. Exploiting the property, we develop a memoization-based incremental training scheme, which only requires computation over updated keys, while decomposition results of non-updated keys from previous computations can be reused. We further enhance SIA to offload a portion of this training process to an FPGA accelerator to not only relieve CPU resources for serving index queries (i.e., inference), but also accelerate the training itself. Our evaluation shows that compared to ALEX, LIPP, and SIndex, a state-of-the-art …"
26,Yin-Yang: Programming Abstractions for Cross-Domain Multi-Acceleration,7,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:g5m5HwL7SMYC,"Field-programmable gate array (FPGA) accelerators offer performance and efficiency gains by narrowing the scope of acceleration to one algorithmic domain. However, real-life applications are often not limited to a single domain, which naturally makes Cross-Domain Multi-Acceleration a crucial next step. The challenge is, existing FPGA accelerators are built upon their specific vertically specialized stacks, which prevents utilizing multiple accelerators from different domains. To that end, we propose a pair of dual abstractions, called Yin-Yang, which work in tandem and enable programmers to develop cross-domain applications using multiple accelerators on a FPGA. The Yin abstraction enables cross-domain algorithmic specification, while the Yang abstraction captures the accelerator capabilities. We also developed a dataflow virtual machine, dubbed Accelerator-Level Virtual Machine (XLVM), which …"
27,An adaptive vector index partitioning scheme for low-latency rag pipeline,6,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:UxriW0iASnsC,"Retrieval Augmented Generation (RAG) systems enhance response quality by integrating Large Language Models (LLMs) with vector databases, enabling external knowledge retrieval to support language model reasoning. While RAG enables efficient question answering with smaller LLMs, existing optimizations for vector search and LLM serving have largely been developed in isolation. As a result, their integration often leads to suboptimal end-to-end performance.... This paper introduces VectorLiteRAG, an optimized vector index partitioning mechanism designed for RAG systems that enhances the responsiveness of the system by jointly optimizing vector search and LLM serving across CPU and GPU system. A key challenge is to determine which indices and how much of the vector index should reside on the GPU and adjusting LLM batch sizes to balance the pipeline for lower Time-To-First-Token (TTFT) and …"
28,Methods and systems for integrating machine learning/analytics accelerators and relational database systems,6,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:NaGl4SEjCO4C,"A method for database management is disclosed. The method may include receiving an algorithm from a user. Based on the algorithm, a hierarchical dataflow graph (hDFG) may be generated. The method may further include generating an architecture for a chip based on the hDFG. The architecture for a chip may retrieve a data table from a database. The data table may be associated with the archi tecture for a chip. Finally, the algorithm may be executed against the data table, such that an action included in the algorithm is performed."
29,Ad-Rec: Advanced Feature Interactions to Address Covariate-Shifts in Recommendation Networks,5,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:yD5IFk8b50cC,"Recommendation models are vital in delivering personalized user experiences by leveraging the correlation between multiple input features. However, deep learning-based recommendation models often face challenges due to evolving user behaviour and item features, leading to covariate shifts. Effective cross-feature learning is crucial to handle data distribution drift and adapting to changing user behaviour. Traditional feature interaction techniques have limitations in achieving optimal performance in this context. This work introduces Ad-Rec, an advanced network that leverages feature interaction techniques to address covariate shifts. This helps eliminate irrelevant interactions in recommendation tasks. Ad-Rec leverages masked transformers to enable the learning of higher-order cross-features while mitigating the impact of data distribution drift. Our approach improves model quality, accelerates convergence, and reduces training time, as measured by the Area Under Curve (AUC) metric. We demonstrate the scalability of Ad-Rec and its ability to achieve superior model quality through comprehensive ablation studies."
30,"Characterizing the Efficiency of Distributed Training: A Power, Performance, and Thermal Perspective",4,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:u9iWguZQMMsC,"The rapid scaling of Large Language Models (LLMs) has pushed training workloads far beyond the limits of single-node analysis, demanding a deeper understanding of how these models behave across large-scale, multi-GPU systems. In this paper, we present a comprehensive characterization of LLM training across diverse real-world workloads and hardware platforms, including NVIDIA H100/H200 and AMD MI250 GPUs. We analyze dense and sparse models under various parallelism strategies – tensor, pipeline, data, and expert – and evaluate their effects on hardware utilization, power consumption, and thermal behavior. We further evaluate the effectiveness of optimizations such as activation recomputation and compute-communication overlap. Our findings show that performance is not determined solely by scaling hardware capacity. Scale-up systems with fewer, higher-memory GPUs can outperform …"
31,Pimba: A Processing-in-Memory Acceleration for Post-Transformer Large Language Model Serving,4,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HmBa_6gAAAAJ&pagesize=50&citation_for_view=HmBa_6gAAAAJ:p2g8aNsByqUC,"Transformers are the driving force behind today’s Large Language Models (LLMs), serving as the foundation for their performance and versatility. Yet, their compute and memory costs grow with sequence length, posing scalability challenges for long-context inferencing. In response, the algorithm community is exploring alternative architectures—such as state space models (SSMs) (e.g., Mamba-2), linear attention, and recurrent neural networks (RNNs)—which we refer to as post-transformers. This shift presents a key challenge: building a serving system that efficiently supports not only emerging post-transformer LLMs but also existing transformer models within a unified framework. To address this challenge, we analyze the performance characteristics of transformer and post-transformer LLMs. Despite their algorithmic differences, both are largely bounded by memory bandwidth under batched inference—due to …"
